10:12:15.807 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:5010" ||  ||end 
10:12:15.868 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "https://localhost:5011" ||  ||end 
10:12:15.869 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
10:12:15.869 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Production" ||  ||end 
10:12:15.870 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\lijun\github\Mzgh\MzsfApi\bin\Release\netcoreapp3.1\publish" ||  ||end 
10:15:08.359 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
10:16:04.796 +08:00 || Error ||  || A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: Named Pipes Provider, error: 40 - Could not open a connection to SQL Server) ||  ||end 
10:18:05.764 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
10:22:09.949 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
10:22:45.275 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
10:25:12.300 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
10:32:14.271 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
10:32:54.306 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
11:44:51.824 +08:00 || Information || Microsoft.Hosting.Lifetime || Application is shutting down... ||  ||end 
12:53:49.530 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:5010" ||  ||end 
12:53:49.605 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "https://localhost:5011" ||  ||end 
12:53:49.606 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
12:53:49.606 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Production" ||  ||end 
12:53:49.607 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\lijun\github\Mzgh\MzsfApi\bin\Release\netcoreapp3.1\publish" ||  ||end 
12:53:55.791 +08:00 || Information || Microsoft.Hosting.Lifetime || Application is shutting down... ||  ||end 
12:54:05.505 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:5010" ||  ||end 
12:54:05.539 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "https://localhost:5011" ||  ||end 
12:54:05.539 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
12:54:05.539 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Production" ||  ||end 
12:54:05.540 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\lijun\github\Mzgh\MzsfApi\bin\Release\netcoreapp3.1\publish" ||  ||end 
12:54:23.557 +08:00 || Information ||  || GetLoginUser,super, ||  ||end 
